time,value
2006-01-01,-0.7309673482688468
2006-01-02,-0.0012318286551739996
2006-01-03,0.03616879028108447
2006-01-04,-0.03649096273448381
2006-01-05,-0.5839514684876099
2006-01-06,-0.16249355984363087
2006-01-07,-0.5762196204166756
2006-01-08,-1.1834758087892372
2006-01-09,-0.07621603280994907
2006-01-10,-3.2709800662053556
2006-01-11,0.11911107449083562
2006-01-12,-0.18051355073903125
2006-01-13,0.4971055279483223
2006-01-14,0.4382978026503978
2006-01-15,0.9466298582478966
2006-01-16,1.1528737820317232
2006-01-17,0.41288632573919104
2006-01-18,-0.4469185716198903
2006-01-19,1.6705524353462724
2006-01-20,1.783076651323912
2006-01-21,1.242361594167044
2006-01-22,0.4501655843548906
2006-01-23,-0.1381021580785618
2006-01-24,-0.5016114788898005
2006-01-25,-0.005072617968418814
2006-01-26,0.8695977399729423
2006-01-27,-0.6173457623714439
2006-01-28,-0.3513942639633544
2006-01-29,0.573089354896599
2006-01-30,0.7674175783191091
2006-01-31,0.4087839282539926
2006-02-01,0.341874322601791
2006-02-02,0.17277577580841555
2006-02-03,-0.5315937502576068
2006-02-04,0.12163508178406805
2006-02-05,0.08102843884847537
2006-02-06,0.3521068240070528
2006-02-07,-0.658163690003111
2006-02-08,-0.20383819510633475
2006-02-09,-1.2503001232312967
2006-02-10,0.16213021643762124
2006-02-11,-1.5945110503727766
2006-02-12,0.12256607084493999
2006-02-13,0.6216607195563936
2006-02-14,0.32110906536014105
2006-02-15,0.5327606050288158
2006-02-16,0.3734096238702804
2006-02-17,0.6655921495667162
2006-02-18,0.25972241149943504
2006-02-19,0.03846775560816496
2006-02-20,0.20001059403555985
2006-02-21,0.13901235430728046
2006-02-22,0.2848433903753205
2006-02-23,-1.5181755863301567
2006-02-24,0.05011677895750076
2006-02-25,-1.1694050438831314
2006-02-26,-0.7362852442939117
2006-02-27,-0.6456668447228252
2006-02-28,-0.6063371986028298
2006-03-01,-0.6381453479460125
2006-03-02,0.07431096556221514
2006-03-03,-0.28460476115151623
2006-03-04,-1.0465479953898251
2006-03-05,0.3777336136716419
2006-03-06,0.5998231162605296
2006-03-07,1.0815023623084192
2006-03-08,0.8014436091519004
2006-03-09,1.2486178729374326
2006-03-10,1.2505765888029607
2006-03-11,1.2081174502188436
2006-03-12,0.3347053998791633
2006-03-13,1.0956885054517702
2006-03-14,1.0097463599023144
2006-03-15,1.7016688167463272
2006-03-16,1.5814738385059761
2006-03-17,0.9551996741661278
2006-03-18,-0.06943941050573388
2006-03-19,0.5134831367727325
2006-03-20,-0.899311014514095
2006-03-21,1.0325600867397944
2006-03-22,0.9371197088692889
2006-03-23,0.48181329436648085
2006-03-24,-0.40794550753982733
2006-03-25,0.6897949566895024
2006-03-26,0.9932480064671427
2006-03-27,1.4285253069912858
2006-03-28,1.2527803851845432
2006-03-29,1.0703118867888255
2006-03-30,0.5413663215831839
2006-03-31,0.8628894322581663
2006-04-01,-1.0081251995725455
2006-04-02,0.37521211100014534
2006-04-03,-0.5445551501206177
2006-04-04,0.18066353189091514
2006-04-05,0.28644799702860213
2006-04-06,-0.5968479557963356
2006-04-07,0.4728076283541503
2006-04-08,0.3163485990397424
2006-04-09,0.7553104149213791
2006-04-10,1.3957147482671908
2006-04-11,1.1848592068333008
2006-04-12,1.5750991268141499
2006-04-13,0.5613453952445662
2006-04-14,0.8955663454468608
2006-04-15,1.1115310440666883
2006-04-16,0.6272834494597226
2006-04-17,0.783128384844592
2006-04-18,1.2485724095865303
2006-04-19,1.0794197119749793
2006-04-20,0.05108810533705339
2006-04-21,-0.04311813223704553
2006-04-22,-0.239996642087831
2006-04-23,0.3114504659047564
2006-04-24,-0.3501801594474182
2006-04-25,-0.031021119664229293
2006-04-26,-0.18053726620607816
2006-04-27,0.5226763123275289
2006-04-28,0.04372051251401426
2006-04-29,0.3555062097265273
2006-04-30,0.4979092669884487
2006-05-01,0.8999528689219339
2006-05-02,0.011607134805921368
2006-05-03,-0.025856585018550222
2006-05-04,0.2387404694072752
2006-05-05,0.4445012017181773
2006-05-06,0.360510610383234
2006-05-07,0.09271650976417119
2006-05-08,0.657887426464236
2006-05-09,0.2808438245591276
2006-05-10,-1.026998240107785
2006-05-11,0.17086457255112233
2006-05-12,-0.2613548924014842
2006-05-13,0.5638988059356461
2006-05-14,0.7839946760981178
2006-05-15,0.2724402817550733
2006-05-16,1.1539283738047572
2006-05-17,1.1728089069026566
2006-05-18,0.9587246059750917
2006-05-19,0.4114265859847839
2006-05-20,-0.22680542334769327
2006-05-21,0.5547952980196944
2006-05-22,0.4502648727313206
2006-05-23,-0.3338277008729016
2006-05-24,0.10874594355767954
2006-05-25,0.09305100438895812
2006-05-26,0.44600252631910187
2006-05-27,-0.3729691580892307
2006-05-28,0.07181891266057214
2006-05-29,-0.6770560791799467
2006-05-30,0.06170933537385577
2006-05-31,0.2149288564161704
2006-06-01,0.5322072859645445
2006-06-02,0.5935851082817089
2006-06-03,0.35301815234464107
2006-06-04,0.4914859401013819
2006-06-05,0.6589527673103952
2006-06-06,0.016232789633219037
2006-06-07,1.3034730066477946
2006-06-08,1.2900929973301463
2006-06-09,1.0253042050714627
2006-06-10,0.15169364975783783
2006-06-11,0.29560505284914446
2006-06-12,0.8716458097710083
2006-06-13,0.7847918583117396
2006-06-14,0.28478876708894985
2006-06-15,0.08912639085113891
2006-06-16,0.31564401704355993
2006-06-17,0.7278845516831042
2006-06-18,-0.14546387321808196
2006-06-19,1.0606800375340935
2006-06-20,1.8628692232450295
2006-06-21,0.9615029405159871
