"","f-curve","smoothed","fc-news","fc-fin","fc-dom","fc-for","fc-res","update"
"2000-01-03",0.493981235383045,NA,-7.58887375481245e-05,NA,-0.181131480441052,0.207207387027553,0.467905328796536,2023-04-12
"2000-01-04",-0.166344569875439,NA,-1.52701250546937,1.16636499813407,-0.623901444142574,0.0165278075784898,0.441029066688438,2023-04-12
"2000-01-05",0.0796943233863852,NA,-0.983770832319167,1.12038804874639,-0.537740982353262,0.0902080587160207,0.527227247023129,2023-04-12
"2000-01-06",0.669035237550174,NA,0.234115235459141,0.952566525427565,-0.182738856388265,0.316918342299816,0.534855751638618,2023-04-12
"2000-01-07",-0.799970344576542,NA,-0.874330900981181,0.276160920268351,-1.20070235259508,-0.490521520332319,0.891253528350846,2023-04-12
"2000-01-10",-1.1758842920436,NA,-1.63705367597213,-0.0625213072199857,-1.27469656323938,-0.742570683220411,0.841382954416178,2023-04-12
"2000-01-11",-1.20734548305274,-0.300976270461246,-2.0099625892899,0.124564175904088,-1.23477998906154,-0.724113460337509,0.751547966346309,2023-04-12
"2000-01-12",-1.40479330698479,-0.572229776513793,-2.50872308425336,0.122926308202994,-1.27820379627291,-0.760475778708832,0.633886267996953,2023-04-12
"2000-01-13",-1.57763589305902,-0.773842822682877,-2.40333994209983,-0.0723784992902791,-1.34136977633032,-0.882550189753957,0.646284073025253,2023-04-12
"2000-01-14",-1.91618958326094,-1.05896909506107,-2.10554507088469,-0.520443639679233,-1.49777196950381,-1.02183852366639,0.603420909909256,2023-04-12
"2000-01-17",-2.22535934159325,-1.4724540349387,-2.22659154106491,NA,-1.67377674325591,-1.20741285803081,0.655830259693458,2023-04-12
"2000-01-18",-1.51346566750432,-1.5743819382141,-1.23784939517715,-0.230600575037802,-1.4306896291247,-0.938191399734989,0.855415361355357,2023-04-12
"2000-01-19",-1.10187203111533,-1.56380875808149,-0.767001982821557,-0.163159086008241,-1.16746436126224,-0.784298272587259,0.849890602734165,2023-04-12
"2000-01-20",-1.18749417846684,-1.56097285742636,-1.56146038555011,-0.190724398109478,-1.14209380798531,-0.669396663046095,0.623996292564561,2023-04-12
"2000-01-21",-1.35698989831371,-1.55414379904478,-1.71351499424296,-0.255892983736682,-1.13826216205351,-0.821616597477972,0.602888861217777,2023-04-12
"2000-01-24",-0.782002048334,-1.44048182122691,-1.13279371827275,0.204152637068565,-0.871125044081376,-0.585621388798517,0.67474438454589,2023-04-12
"2000-01-25",-0.506302843413327,-1.23906942982011,-0.732145538516371,0.271358822102617,-0.756790651107126,-0.520627126644978,0.771114934338776,2023-04-12
"2000-01-26",-0.575463835769589,-1.0033700718453,-1.2876545438076,0.384930682956954,-0.87474523199507,-0.42175096779613,0.721032364021608,2023-04-12
"2000-01-27",-0.980321144698643,-0.927206568587349,-1.87475727495913,0.382230628890754,-1.12294349325378,-0.539867917044016,0.68249026559915,2023-04-12
"2000-01-28",-0.454767841027238,-0.834763112860478,-1.00100239719714,0.693494121112378,-0.966410560524256,-0.369615260416437,0.881257979913451,2023-04-12
"2000-01-31",0.0669943405433572,-0.655550467287592,0.0236287886685181,0.69571416021066,-0.761628979146656,-0.295083375265949,1.12370669495596,2023-04-12
"2000-02-01",-0.0953807761722997,-0.475320592695963,0.0809187838756018,0.413673062321649,-0.889410360079152,-0.303561635546766,1.09759121945361,2023-04-12
"2000-02-02",-0.45801620348997,-0.429036900575387,-1.00707996707177,0.38616504110442,-0.947214394767445,-0.365819780912358,0.855017972189828,2023-04-12
"2000-02-03",-0.697181799632214,-0.456305322892371,-1.41040542277737,0.112272123310415,-0.984496776968375,-0.439526099698957,0.726841077035113,2023-04-12
"2000-02-04",-0.698976537092154,-0.47394999450988,-1.73107508256162,0.0704812613475853,-0.709288347471103,-0.587847513574232,0.59815932395318,2023-04-12
"2000-02-07",-0.322281827622794,-0.379944377784759,-0.841387803915116,0.288687986413858,-0.656390680347475,-0.440350533325006,0.774459386049684,2023-04-12
"2000-02-08",-0.166231304162491,-0.338724872518367,0.223443510756624,0.236656538514768,-0.671617188273673,-0.375347827287346,0.880733711398526,2023-04-12
"2000-02-09",-0.359653566534987,-0.399674573529559,-0.946678673144365,0.379983793829365,-0.624418505634174,-0.424826177858288,0.689591116957474,2023-04-12
"2000-02-10",-1.06732651842104,-0.538523965279379,-2.59666714535304,0.406988047665984,-0.95108289165887,-0.720478757129989,0.604235130367816,2023-04-12
"2000-02-11",-0.827030804177377,-0.591240336806151,-2.31587460454887,0.68005453633943,-0.856596471864762,-0.606751082295061,0.636316749982444,2023-04-12
